seed,coverage,sharpness
seed_68,0.9450096899224806,1.9184152949948579
seed_69,0.9484011627906976,1.9310404855961207
seed_70,0.9425872093023255,1.8442959511546098
seed_71,0.9418604651162791,1.846086636336551
seed_72,0.9464631782945736,1.9033471786966882
seed_73,0.9527616279069767,2.046352373836001
seed_74,0.9481589147286822,1.9269097056807512
seed_75,0.9517926356589147,1.9779408030983197
seed_76,0.9452519379844961,1.9057791401865385
seed_77,0.9442829457364341,1.876648082082351
seed_78,0.9515503875968992,1.9994583255984235
seed_79,0.9462209302325582,1.9001363852492656
seed_80,0.9493701550387597,1.9498276059840585
seed_81,0.9445251937984496,1.9211969158922173
seed_82,0.9464631782945736,1.8915485009985566
seed_83,0.9503391472868217,2.0119306156782892
seed_84,0.9467054263565892,1.903976158088422
seed_85,0.9520348837209303,1.9843546497572184
seed_86,0.9493701550387597,2.0102751179388902
seed_87,0.9481589147286822,1.8977657213877885
seed_88,0.9481589147286822,1.9720850809229842
seed_89,0.9498546511627907,1.9524716387724477
seed_90,0.9491279069767442,1.9798480216201648
seed_91,0.9457364341085271,1.917210902590683
seed_92,0.9413759689922481,1.8528988420483254
seed_93,0.9508236434108527,1.9215864252366508
seed_94,0.9467054263565892,1.88317053711619
seed_95,0.9505813953488372,2.0146034196029112
seed_96,0.9479166666666666,1.924849854507468
seed_97,0.9493701550387597,1.9636118568525838
seed_98,0.9549418604651163,2.0450930122252973
seed_99,0.9527616279069767,1.9800647971867278
seed_100,0.9452519379844961,1.9143259508064896
seed_101,0.9542151162790697,2.0446883666280278
seed_102,0.9442829457364341,1.8723816774095674
seed_103,0.9457364341085271,1.8662179832712802
seed_104,0.9481589147286822,1.929732546161021
seed_105,0.9464631782945736,1.9325412686326864
seed_106,0.9471899224806202,1.876150388486877
seed_107,0.9440406976744186,1.8969902994869379
seed_108,0.9498546511627907,1.9537217342133142
seed_109,0.9491279069767442,1.932005221125184
seed_110,0.9462209302325582,1.9737240898733333
seed_111,0.9513081395348837,2.011337418441574
seed_112,0.9566375968992248,2.111152316025681
seed_113,0.9513081395348837,2.0060368938885818
seed_114,0.9513081395348837,2.0200506105057805
seed_115,0.9503391472868217,1.971437364336985
seed_116,0.9442829457364341,1.9195530284885232
seed_117,0.9452519379844961,1.9057513944695472
seed_118,0.9464631782945736,1.8882330349921757
seed_119,0.9498546511627907,1.9471808775592043
seed_120,0.9508236434108527,1.9826363072161228
seed_121,0.9527616279069767,1.9979138666067344
seed_122,0.9459786821705426,1.9247358829475165
seed_123,0.9522771317829457,1.9985311932147707
