seed,train,test
seed_129,22.1432241072441,53.93366968640922
seed_130,21.443337773035353,54.54717825017331
seed_131,22.061229335028617,55.74262760746276
seed_132,23.409383470516623,54.721243569136924
seed_133,22.213230163985195,54.445092627673574
seed_134,23.158144314820664,54.637494287553785
seed_135,23.145812657165575,54.7868612150555
seed_136,22.572393067370566,56.39840427258897
seed_137,23.2013633187467,52.44812514724119
seed_138,21.95555938432879,55.89116618306842
seed_139,20.910934032730633,55.419990227840465
seed_140,22.19473723621995,56.17955063000027
seed_141,22.03172494759924,55.09672438722875
seed_142,22.35348721184914,56.44352173693112
seed_143,22.701349162282817,54.429162994388065
seed_144,22.646627859553195,56.11718975961692
seed_145,22.237545816465314,55.52924236205074
seed_146,21.65564230311828,56.681180298225975
seed_147,23.272566858467034,55.64092771583389
seed_148,22.181686925220202,54.904477979917004
seed_149,22.43189894216527,54.833292181490194
seed_150,22.02468965832333,54.476340963019
seed_151,22.079119111902447,54.059826139631554
seed_152,21.496591273121336,54.000767857628496
seed_153,22.311444135105628,54.77012511961222
seed_154,22.382185379191302,54.54109336242298
seed_155,21.043518058364842,52.43802031119503
seed_156,22.37990966957154,54.24419672786837
seed_157,21.526303765112086,53.69682444108012
seed_158,22.270942059717026,54.29090691964266
seed_159,20.85801664428652,52.072811653329666
seed_160,22.254833685033116,55.711601135881885
seed_161,21.295528357622477,55.67458856928851
seed_162,22.170997682954546,55.37847880365388
seed_163,22.00605257650722,52.858754209962356
seed_164,22.879640214908022,55.78629635200886
seed_165,22.29117805185257,57.0705093268972
seed_166,23.19394396695879,54.282587116357526
seed_167,21.962400109291472,54.993213595615906
seed_168,22.252066536650368,54.45515837969167
seed_169,21.29884146443822,54.54329117645497
seed_170,22.542618845066322,53.456229064934014
seed_171,23.129354086410313,54.59031906808254
seed_172,21.895179289888528,55.857687640461144
seed_173,22.940697122574477,53.45578632977754
seed_174,20.599123859714975,53.494516299872295
seed_175,21.725049046218654,54.80916806971606
seed_176,21.75604538067662,56.56159007586431
seed_177,20.97323146009665,54.07540790830374
seed_178,22.397799548643434,55.40247333545131
seed_179,22.33852764674168,54.896498486400894
seed_180,21.36916489555297,54.532395330202014
seed_181,22.429846761794334,53.30359675449952
seed_182,21.568553533214775,54.79754362779823
seed_183,22.852794222761442,53.25879100299896
seed_184,22.564955733896916,55.05244777135689
seed_185,23.562074833395837,52.79656702748428
seed_186,20.794174264282134,55.265680544687186
seed_187,21.59030030880169,54.95548836216084
seed_188,23.247207742071524,53.461272752055415
