seed,train,test
seed_129,43.763944937563465,51.48761406070356
seed_130,39.67810814185721,52.56427113492752
seed_131,48.69946932386719,52.922408275261226
seed_132,48.93259114880218,51.98568846519294
seed_133,43.20700718254534,51.73884781971767
seed_134,47.17090737478642,51.64807053636859
seed_135,47.85364739927549,52.40468728531942
seed_136,47.43371196280784,52.60310959684678
seed_137,47.62474239746469,52.47240648175468
seed_138,43.069849062239086,53.76946455711036
seed_139,38.25648572439294,55.06823865044826
seed_140,46.983492313976505,53.18892998632661
seed_141,47.58751445705983,52.28272794958354
seed_142,41.76474130247711,54.12491447430415
seed_143,47.1080462589713,51.34542176199032
seed_144,41.517185741262885,55.36921638373127
seed_145,41.97975959041495,52.43560623914806
seed_146,42.715877217018196,53.95400000259118
seed_147,44.87540772430799,53.520091658128734
seed_148,37.916363533221,54.59801924465582
seed_149,43.760414800830326,53.04476831589768
seed_150,44.97813220840412,54.00730979266562
seed_151,45.06148392747209,52.613571661480734
seed_152,44.598041241807636,50.84423080016555
seed_153,48.784427071754905,51.4278830391506
seed_154,40.28972967941455,55.21951915876165
seed_155,34.64803489032656,52.16380350507597
seed_156,47.64505609453026,52.33118409172949
seed_157,44.74227763706996,51.22297641813428
seed_158,38.72165951031656,53.52737972815638
seed_159,37.19372911970772,51.691616533920254
seed_160,44.70251688393771,52.0791222186813
seed_161,40.228046584291015,53.29950903949094
seed_162,44.92546900827936,52.428961465447195
seed_163,44.27807624700701,51.09326710608416
seed_164,47.67115650777411,52.5711714028248
seed_165,42.19399676344196,56.40697091418617
seed_166,43.418161927164185,54.24930199850292
seed_167,43.34573240421611,52.0030367139977
seed_168,47.48428029734693,52.529764674865994
seed_169,44.076202524937244,52.408579417371875
seed_170,46.795314712003595,51.639446856755505
seed_171,45.2429476279047,53.37862318578618
seed_172,45.892205201979664,52.87745856015074
seed_173,46.436146282247506,51.575684736089336
seed_174,42.471343495573485,51.38608174954866
seed_175,42.44705550762526,53.05195594046783
seed_176,46.4583863551495,52.10794733314381
seed_177,45.22683988694739,52.63431941073467
seed_178,41.694043451106715,54.238845495638195
seed_179,46.11821263744168,53.36630999215431
seed_180,38.300313123373556,53.459648308888355
seed_181,46.71911411400192,51.34699634869119
seed_182,40.75631332557044,54.2592484578043
seed_183,48.329058782202004,51.21154655574676
seed_184,43.88370574144456,53.66054027895828
seed_185,50.71915348799769,51.722658145690566
seed_186,41.82223686049689,52.102180978694776
seed_187,42.93688588167179,53.15798752102553
seed_188,46.340435198410255,53.42279085367555
seed_189,43.48972483377524,52.70409227300306
seed_190,42.32011454737035,52.117737161601454
seed_191,47.466275809829845,51.771551337328404
seed_192,44.2628679174973,51.13941716240428
seed_193,43.45193471845576,52.35304015029451
seed_194,45.12827697608713,52.70409108177104
seed_195,44.43310987007892,52.688907333933166
seed_196,44.126779082590176,51.71707017187725
seed_197,41.39396146881899,53.359310486467905
seed_198,49.87838891238062,51.39984141051202
seed_199,44.10356124340925,53.655003299121674
