seed,coverage,sharpness
seed_86,0.0,0.0838284966927882
seed_87,0.0,0.1847601211130167
seed_88,0.011235955056179775,0.12246183466447859
seed_89,0.0,0.10705804006259856
seed_90,0.0,0.11113732541416206
seed_91,0.0,0.1482121005689564
seed_92,0.0,0.09321432320190341
seed_93,0.0,0.13584671160372058
seed_94,0.0,0.1519477915109628
seed_95,0.0,0.08670154515705311
seed_96,0.0,0.10617524264558725
seed_97,0.0,0.10650875084195377
seed_98,0.0,0.19389855186405103
seed_99,0.0,0.11546592967357519
seed_100,0.0,0.08792029617485346
seed_101,0.0,0.11065625643890199
seed_102,0.0,0.1413586251448006
seed_103,0.0,0.2010215638710954
seed_104,0.0,0.12051781806155759
seed_105,0.0,0.12486719648781115
seed_106,0.0,0.08860909440147584
seed_107,0.0,0.0475230706404196
seed_108,0.0,0.10008713789803038
seed_109,0.0,0.0791683510793203
seed_110,0.011235955056179775,0.15113878121353091
seed_111,0.0,0.15195589835445764
seed_112,0.0,0.11811724751014324
seed_113,0.0,0.13076732834504445
seed_114,0.0,0.1111625078567613
seed_115,0.0,0.06250288680905686
seed_116,0.0,0.1401539094520528
seed_117,0.0,0.19806517554479797
seed_118,0.0,0.10617077845794964
seed_119,0.0,0.1127646235616413
seed_120,0.0,0.0741003942140869
seed_121,0.011235955056179775,0.11809881060315934
seed_122,0.0,0.08798284965793149
seed_123,0.0,0.16796798883016886
seed_124,0.0,0.200187640083528
seed_125,0.0,0.10194811805411032
seed_126,0.0,0.23978374057971036
seed_127,0.0,0.14229242890843288
seed_128,0.0,0.06902509483576372
seed_129,0.0,0.11663641605519687
seed_130,0.0,0.14600945893987488
seed_131,0.0,0.18071921473570318
seed_132,0.0,0.21130160853685628
seed_133,0.0,0.19285381695591608
seed_134,0.0,0.09761911679146351
seed_135,0.0,0.07429406911472601
seed_136,0.0,0.14750009915235296
seed_137,0.0,0.13749945457817284
seed_138,0.0,0.1275825946715947
seed_139,0.0,0.12067139599997426
seed_140,0.0,0.0668733641516741
seed_141,0.0,0.1406960829639964
seed_142,0.0,0.20409613186036715
seed_143,0.0,0.22561159221327107
seed_144,0.011235955056179775,0.3380057594794577
seed_145,0.0,0.14319086297496142
seed_146,0.0,0.1574098937088005
seed_147,0.0,0.15637058811934168
seed_148,0.011235955056179775,0.13504663265802025
seed_149,0.0,0.08157567413711271
seed_150,0.0,0.07116468907048829
seed_151,0.0,0.10074734842686056
seed_152,0.0,0.12206776098169363
seed_153,0.0,0.1761285292987378
seed_154,0.0,0.14206802712367017
seed_155,0.011235955056179775,0.12331809611090305
seed_156,0.0,0.09323709092313948
seed_157,0.011235955056179775,0.1420171180338193
seed_158,0.0,0.1187423085758618
seed_159,0.011235955056179775,0.14456738006430023
seed_160,0.0,0.11620823876563435
seed_161,0.0,0.09453046649484471
seed_162,0.0,0.178291965105076
seed_163,0.0,0.09396159275827594
seed_164,0.011235955056179775,0.23788094479049232
seed_165,0.0,0.1419212327199918
seed_166,0.0,0.1383230049336371
seed_167,0.0,0.106285157314746
seed_168,0.011235955056179775,0.2470232845223445
seed_169,0.0,0.1015205037494871
seed_170,0.0,0.072530490366988
seed_171,0.0,0.12643026795730142
seed_172,0.0,0.17263835338758327
seed_173,0.0,0.1846537060915226
seed_174,0.011235955056179775,0.07925141021104565
seed_175,0.0,0.1012288644277095
seed_176,0.0,0.16371666715052813
seed_177,0.0,0.1321620990073042
seed_178,0.011235955056179775,0.15007999982257966
seed_179,0.0,0.08636846333228006
seed_180,0.0,0.05583938065797236
seed_181,0.0,0.12155567494813839
seed_182,0.0,0.21827609887951693
seed_183,0.0,0.09629750167830668
seed_184,0.0,0.18180626451714943
seed_185,0.0,0.2608710979832267
seed_186,0.0,0.08668925554833334
seed_187,0.0,0.11997685618517774
seed_188,0.0,0.11692957813266638
seed_189,0.0,0.08346555262277265
seed_190,0.0,0.2393339798575642
seed_191,0.0,0.13009264405722815
seed_192,0.0,0.09600428031029906
seed_193,0.0,0.15478848606142037
seed_194,0.0,0.11237108682570096
seed_195,0.0,0.13336443409399476
seed_196,0.0,0.18087046468673215
seed_197,0.0,0.1198992482789669
seed_198,0.0,0.19404555226486508
seed_199,0.0,0.11318116567962262
