coverage,sharpness,seed,alpha
0.9881298449612403,3.5357061883469223,39,0.01
0.9515503875968992,2.024209437559654,39,0.05
0.8987403100775194,1.4477143435929307,39,0.1
0.8011143410852714,0.9544802815000165,39,0.2
0.998546511627907,5.48239536868479,40,0.001
0.9852228682170543,3.2301102010476086,40,0.01
0.9454941860465116,1.8828159841220684,40,0.05
0.8977713178294574,1.4309079325170253,40,0.1
0.7984496124031008,0.9644355573849697,40,0.2
0.998546511627907,5.526467710008058,41,0.001
0.9876453488372093,3.3518487521562603,41,0.01
0.9433139534883721,1.889228786891394,41,0.05
0.8963178294573644,1.406949943279564,41,0.1
0.8011143410852714,0.961595452260322,41,0.2
0.9992732558139535,6.566326322164912,42,0.001
0.9881298449612403,3.450657464950546,42,0.01
0.9498546511627907,1.9584296994609895,42,0.05
0.9055232558139535,1.463417106810695,42,0.1
0.8062015503875969,0.9770018214958671,42,0.2
0.999031007751938,5.647700736937019,43,0.001
0.9881298449612403,3.4078059262700067,43,0.01
0.9462209302325582,1.9656496797506438,43,0.05
0.8958333333333334,1.4384307994484795,43,0.1
0.8003875968992248,0.9726904348316556,43,0.2
0.9997577519379846,6.639030604328652,44,0.001
0.9893410852713178,3.6099306298365414,44,0.01
0.9534883720930233,2.0462869317716326,44,0.05
0.907218992248062,1.5140256026329424,44,0.1
0.8064437984496124,0.9889352917341636,44,0.2
0.9997577519379846,6.453807872930417,45,0.001
0.9886143410852714,3.610214009107886,45,0.01
0.9493701550387597,1.9561051260752595,45,0.05
0.8968023255813954,1.403828622992389,45,0.1
0.8122577519379846,0.9776962647690364,45,0.2
0.999031007751938,5.862096033238515,46,0.001
0.9898255813953488,3.648456953122097,46,0.01
0.9546996124031008,2.0192244820260963,46,0.05
0.9001937984496124,1.4411042641340626,46,0.1
0.7953003875968992,0.9462075483990906,46,0.2
0.999031007751938,5.973278854011214,47,0.001
0.9871608527131783,3.4682549965016785,47,0.01
0.9459786821705426,1.9405772833760069,47,0.05
0.9016472868217055,1.442236993903245,47,0.1
0.814437984496124,1.0018226917500432,47,0.2
0.9987887596899225,5.568720797862847,48,0.001
0.9849806201550387,3.251235397211125,48,0.01
0.9428294573643411,1.8452517181477077,48,0.05
0.8909883720930233,1.3712236467774135,48,0.1
0.8052325581395349,0.9710097866823502,48,0.2
0.998546511627907,5.234075185127208,49,0.001
0.9883720930232558,3.514688054574975,49,0.01
0.9549418604651163,2.0682371657307073,49,0.05
0.9026162790697675,1.4655381941349899,49,0.1
0.810562015503876,1.006013850191245,49,0.2
0.9992732558139535,5.962116057782726,50,0.001
0.9883720930232558,3.493929930979299,50,0.01
0.9481589147286822,1.9475500476506902,50,0.05
0.9006782945736435,1.428265783596121,50,0.1
0.8049903100775194,0.9700189591661831,50,0.2
0.9983042635658915,5.2520888388035445,51,0.001
0.9883720930232558,3.4259356023357146,51,0.01
0.9418604651162791,1.8476898787846319,51,0.05
0.8924418604651163,1.3729122790404928,51,0.1
0.7977228682170543,0.9518570568671181,51,0.2
0.9987887596899225,5.81482837622046,52,0.001
0.9888565891472868,3.5423481156884433,52,0.01
0.9515503875968992,1.9802666143865792,52,0.05
0.9004360465116279,1.434515436115646,52,0.1
0.8040213178294574,0.9656974714973803,52,0.2
0.9987887596899225,5.597408455048385,53,0.001
0.9849806201550387,3.2970282496940095,53,0.01
0.9530038759689923,2.0427788629501826,53,0.05
0.904312015503876,1.4643639620568958,53,0.1
0.8175872093023255,1.0060291617607862,53,0.2
0.9987887596899225,5.707118342844594,54,0.001
0.9890988372093024,3.461149838413491,54,0.01
0.9515503875968992,1.9920206192943581,54,0.05
0.8977713178294574,1.4027738569959172,54,0.1
0.8078972868217055,0.9665188755907899,54,0.2
0.999031007751938,5.867962234779828,55,0.001
0.9890988372093024,3.503023498549938,55,0.01
0.9469476744186046,1.9721386951197744,55,0.05
